,ds,y
0,2019-01-01,12
1,2019-01-02,8
2,2019-01-03,8
3,2019-01-04,6
4,2019-01-05,12
5,2019-01-06,9
6,2019-01-07,9
7,2019-01-08,18
8,2019-01-09,8
9,2019-01-10,9
10,2019-01-11,8
11,2019-01-12,11
12,2019-01-13,10
13,2019-01-14,13
14,2019-01-15,13
15,2019-01-16,10
16,2019-01-17,11
17,2019-01-18,9
18,2019-01-19,16
19,2019-01-20,10
20,2019-01-21,8
21,2019-01-22,7
22,2019-01-23,17
23,2019-01-24,13
24,2019-01-25,17
25,2019-01-26,17
26,2019-01-27,14
27,2019-01-28,14
28,2019-01-29,12
29,2019-01-30,9
30,2019-01-31,14
31,2019-02-01,6
32,2019-02-02,14
33,2019-02-03,14
34,2019-02-04,11
35,2019-02-05,12
36,2019-02-06,13
37,2019-02-07,20
38,2019-02-08,12
39,2019-02-09,13
40,2019-02-10,11
41,2019-02-11,8
42,2019-02-12,8
43,2019-02-13,8
44,2019-02-14,8
45,2019-02-15,19
46,2019-02-16,8
47,2019-02-17,13
48,2019-02-18,7
49,2019-02-19,9
50,2019-02-20,10
51,2019-02-21,6
52,2019-02-22,11
53,2019-02-23,8
54,2019-02-24,9
55,2019-02-25,16
56,2019-02-26,9
57,2019-02-27,14
58,2019-02-28,6
59,2019-03-01,10
60,2019-03-02,18
61,2019-03-03,14
62,2019-03-04,12
63,2019-03-05,17
64,2019-03-06,11
65,2019-03-07,9
66,2019-03-08,11
67,2019-03-09,16
68,2019-03-10,12
69,2019-03-11,11
70,2019-03-12,12
71,2019-03-13,10
72,2019-03-14,18
73,2019-03-15,12
74,2019-03-16,9
75,2019-03-17,6
76,2019-03-18,7
77,2019-03-19,16
78,2019-03-20,15
79,2019-03-21,6
80,2019-03-22,10
81,2019-03-23,11
82,2019-03-24,11
83,2019-03-25,9
84,2019-03-26,13
85,2019-03-27,10
86,2019-03-28,10
87,2019-03-29,8
88,2019-03-30,11
